title,full_time,part_time,requirements,distance
Team Member,True,False,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule']",0.2
Restaurant Manager,True,False,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule', 'Previous management experience preferred']",0.2
Supervisor,True,False,[],0.3
Team Member,True,False,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule']",0.3
Restaurant Manager,True,False,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule', 'Previous management experience preferred']",0.3
Overnight Baker,False,True,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule']",0.3
Baker,True,True,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule']",0.3
Team Member,True,False,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule']",0.4
Restaurant Manager,True,False,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule', 'Previous management experience preferred']",0.4
Team Member,True,True,"['Demonstrate a passion for hospitality and creating exceptional Guest experiences.', 'Be able to work under pressure while maintaining food safety standards.', 'Have a passion for serving, making food and beverages and good time management.', 'Be able to learn how to operate various equipment, carry boxes up to 25lbs, working in cold environment as freezer/ fridge.', 'Enjoy working with a successful team in a safe environment.', 'Have a strong work ethic, be punctual and responsible.', 'Previous experience in guest service field is an asset.', 'Have or pursuing a post-secondary diploma in Hospitality management or related fields is an asset but not required.', 'Flexible availability is preferred']",0.4
Team Member,True,True,"['Demonstrate a passion for hospitality and creating exceptional Guest experiences.', 'Be able to work under pressure while maintaining food safety standards.', 'Have a passion for serving, making food and beverages and good time management.', 'Be able to learn how to operate various equipment, carry boxes up to 25lbs, working in cold environment as freezer/ fridge.', 'Enjoy working with a successful team in a safe environment.', 'Have a strong work ethic, be punctual and responsible.', 'Previous experience in guest service field is an asset.', 'Have or pursuing a post-secondary diploma in Hospitality management or related fields is an asset but not required.', 'Flexible availability is preferred']",0.5
Team Member,False,True,"['Must be available for weekends, and weeknights.', 'Minimum availability to include 1 weekday (Sunday to Thursday)minimum availability to 1:00 am and 1 weekend day (Friday and Saturday) available to 1:00 am']",0.6
Team Member,False,True,"['Must be available for weekends, and weeknights.', 'Minimum availability to include 1 weekday (Sunday to Thursday)minimum availability to 1:00 am and 1 weekend day (Friday and Saturday) available to 1:00 am']",0.6
